page,location,trigger,copy,notes
登录页,微信授权按钮,click,用于完成登录与订单通知，信息仅用于本店服务。,首次登录提示
登录页,头像昵称授权,click,头像/昵称仅用于个人中心展示，可随时修改。,可跳过
个人中心,手机号绑定入口,click,手机号用于订单通知与售后联系，请填写真实号码。,重要提示
首页,轮播图,click,活动内容以页面展示为准，优惠可能有时间限制。,可选
商品详情,规格选择,click,请先选择规格再加入购物车或下单。,必填提醒
商品详情,库存提示,click,库存以支付成功时为准。,防超卖说明
购物车,数量调整,click,修改数量后将自动更新结算金额。,可选
结算页,优惠券,click,下单前可使用优惠券，金额会自动扣减。,可选
结算页,积分抵扣,click,可用积分在结算页抵扣，具体以页面提示为准。,可选
订单详情,订单状态,click,订单状态：待支付 -> 处理中 -> 已发货 -> 已完成。,说明流程
订单详情,物流信息,click,发货后可查看快递公司与单号。,发货后展示
地址管理,新增地址,click,请确保手机号与地址真实有效。,必填提示
积分总览,可用积分,click,可用于抵扣或兑换商品。,资产说明
积分总览,待入账,click,订单完成后自动到账。,规则说明
积分流水,记录列表,click,记录每一笔积分变动。,说明字段
积分规则,规则说明,click,不同活动的积分规则以页面为准。,运营可变
购物卡详情,有效期,click,购物卡有效期以卡片详情页为准。,重要提示
购物卡分享,分享按钮,click,分享后他人可领取使用，请注意隐私。,隐私提示
购物卡支付,余额说明,click,余额不足时需补差价或更换支付方式。,结算提示
邀请中心,邀请码,click,邀请码可分享给好友，好友注册下单后你可获得佣金。,运营说明
邀请中心,邀请统计,click,展示邀请人数与首单转化情况。,统计说明
佣金明细,状态标签,click,佣金状态：待审核 -> 已审核 -> 已支付。,状态说明
佣金提现,可提现金额,click,仅包含已审核佣金。,规则说明
佣金提现,提现申请,click,提交后进入处理中，请耐心等待打款。,流程说明
佣金提现,提现记录,click,可查看历史申请与处理结果。,可选
代理申请,申请入口,click,提交申请后等待审核通知。,提示
代理中心,团队与业绩,click,查看团队规模与业绩概览。,数据说明
退货申请,申请按钮,click,在订单详情提交申请并补充说明。,售后提示
退货申请,退款说明,click,审核通过后原路退款。,规则说明
